model,layer_id,layer_name,layer_kind,isb_accesses,filter_accesses,output_accesses,total_cycles
resnet19,0,"layer1.0.conv1",conv,112181,112181,8824,128292
resnet19,1,"layer1.0.conv2",conv,170510,170510,6655,187723
resnet19,2,"layer1.1.conv1",conv,210590,210590,7018,230189
resnet19,3,"layer1.1.conv2",conv,146833,146833,4603,160669
resnet19,4,"layer1.2.conv1",conv,209745,209745,5659,227856
resnet19,5,"layer1.2.conv2",conv,192547,192547,6199,210382
resnet19,6,"layer2.0.conv1",conv,124818,124818,2735,136119
resnet19,7,"layer2.0.conv2",conv,152752,152752,2092,166617
resnet19,8,"layer2.1.conv1",conv,257330,257330,3739,278162
resnet19,9,"layer2.1.conv2",conv,122934,122934,2199,135413
resnet19,10,"layer2.2.conv1",conv,345446,345446,4323,371292
resnet19,11,"layer2.2.conv2",conv,242544,242544,4945,263897
resnet19,12,"layer3.0.conv1",conv,209060,209060,1922,245870
resnet19,13,"layer3.0.conv2",conv,350412,350412,1922,378850
resnet19,14,"layer3.1.conv1",conv,309360,309360,1895,340562
resnet19,15,"layer3.1.conv2",conv,280076,280076,1852,314222
resnet19,16,"fc2",fc,373,373,5,605
