model,layer_id,layer_name,layer_kind,isb_capacity_bytes,filter_capacity_bytes,output_queue_capacity_bytes
vgg16,0,"features.3",conv,160,576,1
vgg16,1,"features.7",conv,160,576,1
vgg16,2,"features.10",conv,160,576,1
vgg16,3,"features.14",conv,160,576,1
vgg16,4,"features.17",conv,160,576,1
vgg16,5,"features.20",conv,160,576,1
vgg16,6,"features.24",conv,160,576,1
vgg16,7,"features.27",conv,160,576,1
vgg16,8,"features.30",conv,160,576,1
vgg16,9,"features.34",conv,160,576,1
vgg16,10,"features.37",conv,160,576,1
vgg16,11,"features.40",conv,160,576,1
vgg16,12,"classifier",fc,160,576,1
